postal_code,total_population,average_income_women,average_age_women,women_20_39
M1B,65555.0,38360.0,41.9,9460.0
M1C,35642.0,52100.0,44.3,4170.0
M1E,48033.0,42320.0,43.1,6335.0
M1G,30894.0,35720.0,40.3,4595.0
M1H,23964.0,38400.0,42.1,3785.0
M1J,37002.0,37960.0,40.5,5355.0
M1K,48175.0,38320.0,41.8,6775.0
M1L,35833.0,41720.0,40.6,4975.0
M1M,23258.0,46240.0,44.1,2735.0
M1N,22976.0,58700.0,44.2,2670.0
M1P,45170.0,38040.0,42.9,6705.0
M1R,30467.0,40920.0,43.3,4125.0
M1S,37663.0,38160.0,46.3,5380.0
M1T,34607.0,38720.0,46.7,4510.0
M1V,50825.0,35720.0,45.9,6455.0
M1W,47070.0,39480.0,47.6,5610.0
M1X,14810.0,38520.0,39.9,2145.0
M2H,23396.0,45600.0,47.9,2800.0
M2J,61761.0,43400.0,42.3,10455.0
M2K,25377.0,55050.0,45.2,4625.0
M2L,11274.0,81300.0,45.3,1245.0
M2M,31915.0,44840.0,46.8,4785.0
M2N,75100.0,51200.0,42.5,14445.0
M2P,7546.0,77000.0,45.2,790.0
M2R,40581.0,42000.0,45.5,5345.0
M3A,34361.0,48600.0,42.6,4755.0
M3B,12880.0,83100.0,47.1,1215.0
M3C,39616.0,43760.0,43.5,5630.0
M3H,38416.0,54400.0,42.3,5450.0
M3J,26600.0,37360.0,40.7,4590.0
M3K,7865.0,45320.0,41.7,1215.0
M3L,19263.0,36120.0,41.8,2620.0
M3M,24906.0,37720.0,42.2,3575.0
M3N,40846.0,33120.0,40.3,5825.0
M4A,14589.0,43200.0,45.9,1865.0
M4B,18612.0,51800.0,43.7,2365.0
M4C,46440.0,50480.0,41.2,6475.0
M4E,25473.0,74200.0,41.8,3025.0
M4G,19598.0,94300.0,44.1,2065.0
M4H,18698.0,31440.0,37.0,2625.0
M4J,35128.0,58500.0,42.5,4480.0
M4K,30913.0,67200.0,43.9,4125.0
M4L,32218.0,68300.0,40.7,4390.0
M4M,25052.0,66900.0,40.6,4420.0
M4N,16058.0,114600.0,47.1,1630.0
M4P,25057.0,62500.0,41.4,5605.0
M4R,11909.0,82600.0,42.1,1700.0
M4S,30754.0,67900.0,42.3,6085.0
M4T,10332.0,130800.0,47.4,1330.0
M4V,19273.0,95900.0,47.4,3155.0
M4W,15296.0,109500.0,45.8,2525.0
M4X,19896.0,43960.0,41.3,3210.0
M4Y,36319.0,51450.0,37.2,9960.0
M5A,48978.0,57900.0,39.6,10635.0
M5B,17422.0,47920.0,36.1,5105.0
M5C,3149.0,69400.0,40.2,790.0
M5E,11779.0,77100.0,40.4,3265.0
M5G,9751.0,52450.0,35.0,3180.0
M5H,3248.0,64400.0,34.6,1055.0
M5J,16879.0,68900.0,39.5,4680.0
M5M,25495.0,90400.0,41.9,2535.0
M5N,16154.0,82200.0,42.9,1930.0
M5P,19791.0,84200.0,45.5,3110.0
M5R,26197.0,84200.0,46.2,5030.0
M5S,17074.0,61150.0,40.6,4570.0
M5T,17903.0,43800.0,43.1,4050.0
M5V,59912.0,69200.0,34.6,20290.0
M6A,22380.0,45160.0,41.6,3555.0
M6B,28534.0,51850.0,44.2,3785.0
M6C,23997.0,66800.0,42.7,3640.0
M6E,37684.0,43720.0,43.2,5625.0
M6G,30600.0,63850.0,44.2,5445.0
M6H,43730.0,51700.0,41.5,8565.0
M6J,32111.0,62650.0,40.9,7320.0
M6K,42110.0,54100.0,39.7,10395.0
M6L,20156.0,40800.0,44.6,2645.0
M6M,42148.0,38480.0,41.6,6130.0
M6N,40252.0,42080.0,42.4,5810.0
M6P,39870.0,60600.0,41.5,7325.0
M6R,19349.0,72500.0,40.5,3280.0
M6S,34029.0,72200.0,42.3,4395.0
M8V,44144.0,59200.0,43.0,8165.0
M8W,22381.0,55150.0,42.6,3210.0
M8X,10624.0,85200.0,49.3,975.0
M8Y,21986.0,60950.0,42.2,3320.0
M8Z,19312.0,63400.0,42.7,2545.0
M9A,36642.0,66100.0,45.1,5205.0
M9B,33236.0,59400.0,43.1,4450.0
M9C,38725.0,51450.0,46.4,4925.0
M9L,11737.0,34720.0,43.6,1570.0
M9M,24245.0,37880.0,40.0,3635.0
M9N,26059.0,40960.0,41.4,3795.0
M9P,20645.0,50320.0,46.5,2505.0
M9R,33783.0,43000.0,43.2,4395.0
M9V,53878.0,34840.0,40.2,7975.0
M9W,40977.0,39480.0,41.8,6185.0
